路段,道路,起點,終點,lat,lon
翠華路 海功-翠華,翠華路,海功,翠華,22.6677946,120.2880278
翠華路 海功-翠華,翠華路,海功,翠華,22.6676952,120.2879604
翠華路 海功-翠華,翠華路,海功,翠華,22.6676513,120.2879306
翠華路 海功-翠華,翠華路,海功,翠華,22.6675184,120.2878406
翠華路 海功-翠華,翠華路,海功,翠華,22.6446711,120.2807219
翠華路 海功-翠華,翠華路,海功,翠華,22.6446055,120.280713
翠華路 海功-翠華,翠華路,海功,翠華,22.6438297,120.2806083
翠華路 海功-翠華,翠華路,海功,翠華,22.6437974,120.2806052
翠華路 海功-翠華,翠華路,海功,翠華,22.6437245,120.2805951
翠華路 海功-翠華,翠華路,海功,翠華,22.6446711,120.2807219
翠華路 海功-翠華,翠華路,海功,翠華,22.6447659,120.2807384
翠華路 海功-翠華,翠華路,海功,翠華,22.6451371,120.2808029
翠華路 海功-翠華,翠華路,海功,翠華,22.645366,120.2808331
翠華路 海功-翠華,翠華路,海功,翠華,22.6454028,120.2808371
翠華路 海功-翠華,翠華路,海功,翠華,22.6455313,120.2808513
翠華路 海功-翠華,翠華路,海功,翠華,22.6564305,120.2815223
翠華路 海功-翠華,翠華路,海功,翠華,22.656547,120.2815302
翠華路 海功-翠華,翠華路,海功,翠華,22.6566292,120.2815357
翠華路 海功-翠華,翠華路,海功,翠華,22.6568733,120.2815522
翠華路 海功-翠華,翠華路,海功,翠華,22.657047,120.2815747
翠華路 海功-翠華,翠華路,海功,翠華,22.6572683,120.2816033
翠華路 海功-翠華,翠華路,海功,翠華,22.6564305,120.2815223
翠華路 海功-翠華,翠華路,海功,翠華,22.6563029,120.281513
翠華路 海功-翠華,翠華路,海功,翠華,22.6562207,120.2815069
翠華路 海功-翠華,翠華路,海功,翠華,22.6549643,120.2814352
翠華路 海功-翠華,翠華路,海功,翠華,22.6549238,120.2814337
翠華路 海功-翠華,翠華路,海功,翠華,22.6548079,120.2814247
翠華路 海功-翠華,翠華路,海功,翠華,22.6586818,120.2820166
翠華路 海功-翠華,翠華路,海功,翠華,22.6587977,120.2820772
翠華路 海功-翠華,翠華路,海功,翠華,22.6588245,120.2820912
翠華路 海功-翠華,翠華路,海功,翠華,22.6594181,120.2824153
翠華路 海功-翠華,翠華路,海功,翠華,22.6597837,120.2826258
翠華路 海功-翠華,翠華路,海功,翠華,22.6599024,120.2826942
翠華路 海功-翠華,翠華路,海功,翠華,22.6586818,120.2820166
翠華路 海功-翠華,翠華路,海功,翠華,22.6586023,120.2819808
翠華路 海功-翠華,翠華路,海功,翠華,22.6585776,120.2819717
翠華路 海功-翠華,翠華路,海功,翠華,22.6580129,120.281765
翠華路 海功-翠華,翠華路,海功,翠華,22.6576169,120.281647
翠華路 海功-翠華,翠華路,海功,翠華,22.6573438,120.2816128
翠華路 海功-翠華,翠華路,海功,翠華,22.6572683,120.2816033
翠華路 海功-翠華,翠華路,海功,翠華,22.6548079,120.2814247
翠華路 海功-翠華,翠華路,海功,翠華,22.6549238,120.2814337
翠華路 海功-翠華,翠華路,海功,翠華,22.6549643,120.2814352
翠華路 海功-翠華,翠華路,海功,翠華,22.6562207,120.2815069
翠華路 海功-翠華,翠華路,海功,翠華,22.6563029,120.281513
翠華路 海功-翠華,翠華路,海功,翠華,22.6564305,120.2815223
翠華路 海功-翠華,翠華路,海功,翠華,22.6548079,120.2814247
翠華路 海功-翠華,翠華路,海功,翠華,22.6546999,120.2814129
翠華路 海功-翠華,翠華路,海功,翠華,22.6546519,120.2814103
翠華路 海功-翠華,翠華路,海功,翠華,22.6543761,120.2813981
翠華路 海功-翠華,翠華路,海功,翠華,22.6541559,120.2813861
翠華路 海功-翠華,翠華路,海功,翠華,22.6538665,120.2813703
翠華路 海功-翠華,翠華路,海功,翠華,22.6538264,120.2813681
翠華路 海功-翠華,翠華路,海功,翠華,22.6537125,120.2813654
翠華路 海功-翠華,翠華路,海功,翠華,22.6614339,120.2837167
翠華路 海功-翠華,翠華路,海功,翠華,22.6615955,120.2838256
翠華路 海功-翠華,翠華路,海功,翠華,22.6616223,120.2838437
翠華路 海功-翠華,翠華路,海功,翠華,22.6627819,120.2846253
翠華路 海功-翠華,翠華路,海功,翠華,22.6628113,120.2846462
翠華路 海功-翠華,翠華路,海功,翠華,22.6629375,120.2847358
翠華路 海功-翠華,翠華路,海功,翠華,22.6614339,120.2837167
翠華路 海功-翠華,翠華路,海功,翠華,22.6613186,120.2836431
翠華路 海功-翠華,翠華路,海功,翠華,22.6612953,120.2836282
翠華路 海功-翠華,翠華路,海功,翠華,22.6606729,120.2832288
翠華路 海功-翠華,翠華路,海功,翠華,22.6572683,120.2816033
翠華路 海功-翠華,翠華路,海功,翠華,22.6573438,120.2816128
翠華路 海功-翠華,翠華路,海功,翠華,22.6576169,120.281647
翠華路 海功-翠華,翠華路,海功,翠華,22.6580129,120.281765
翠華路 海功-翠華,翠華路,海功,翠華,22.6585776,120.2819717
翠華路 海功-翠華,翠華路,海功,翠華,22.6586023,120.2819808
翠華路 海功-翠華,翠華路,海功,翠華,22.6586818,120.2820166
翠華路 海功-翠華,翠華路,海功,翠華,22.6572683,120.2816033
翠華路 海功-翠華,翠華路,海功,翠華,22.657047,120.2815747
翠華路 海功-翠華,翠華路,海功,翠華,22.6568733,120.2815522
翠華路 海功-翠華,翠華路,海功,翠華,22.6566292,120.2815357
翠華路 海功-翠華,翠華路,海功,翠華,22.656547,120.2815302
翠華路 海功-翠華,翠華路,海功,翠華,22.6564305,120.2815223
翠華路 海功-翠華,翠華路,海功,翠華,22.6599024,120.2826942
翠華路 海功-翠華,翠華路,海功,翠華,22.66006,120.2828036
翠華路 海功-翠華,翠華路,海功,翠華,22.6606729,120.2832288
翠華路 海功-翠華,翠華路,海功,翠華,22.6599024,120.2826942
翠華路 海功-翠華,翠華路,海功,翠華,22.6597837,120.2826258
翠華路 海功-翠華,翠華路,海功,翠華,22.6594181,120.2824153
翠華路 海功-翠華,翠華路,海功,翠華,22.6588245,120.2820912
翠華路 海功-翠華,翠華路,海功,翠華,22.6587977,120.2820772
翠華路 海功-翠華,翠華路,海功,翠華,22.6586818,120.2820166
翠華路 海功-翠華,翠華路,海功,翠華,22.6629375,120.2847358
翠華路 海功-翠華,翠華路,海功,翠華,22.6630333,120.2848007
翠華路 海功-翠華,翠華路,海功,翠華,22.6630642,120.2848216
翠華路 海功-翠華,翠華路,海功,翠華,22.6637529,120.2852884
翠華路 海功-翠華,翠華路,海功,翠華,22.6642988,120.2856585
翠華路 海功-翠華,翠華路,海功,翠華,22.6643315,120.2856807
翠華路 海功-翠華,翠華路,海功,翠華,22.6644269,120.2857453
翠華路 海功-翠華,翠華路,海功,翠華,22.6629375,120.2847358
翠華路 海功-翠華,翠華路,海功,翠華,22.6628113,120.2846462
翠華路 海功-翠華,翠華路,海功,翠華,22.6627819,120.2846253
翠華路 海功-翠華,翠華路,海功,翠華,22.6616223,120.2838437
翠華路 海功-翠華,翠華路,海功,翠華,22.6615955,120.2838256
翠華路 海功-翠華,翠華路,海功,翠華,22.6614339,120.2837167
翠華路 海功-翠華,翠華路,海功,翠華,22.6644269,120.2857453
翠華路 海功-翠華,翠華路,海功,翠華,22.6645108,120.2858045
翠華路 海功-翠華,翠華路,海功,翠華,22.6645661,120.2858396
翠華路 海功-翠華,翠華路,海功,翠華,22.6648545,120.286035
