地址,緯度,經度,最近路段,距離（公尺）
800高雄市新興區復興二路326號,22.62607,120.3083,翠華路 海功-翠華,3454.4246457827035
802高雄市苓雅區四維三路9號,22.6196,120.31224,翠華路 海功-翠華,4209.437536349453
804高雄市鼓山區美術東四路396-398號,22.65795,120.29049,翠華路 海功-翠華,794.9794788713529
806高雄市前鎮區民權二路532號,22.61459,120.31486,翠華路 海功-翠華,4776.691866574082
806高雄市前鎮區鄭和路67號,22.60822,120.3127,翠華路 海功-翠華,5133.381262979069
800高雄市新興區七賢一路176號,22.63415,120.31221,翠華路 海功-翠華,3418.384064250499
804高雄市鼓山區美術東四路372號,22.6567,120.29022,翠華路 海功-翠華,842.5367523320714
804高雄市鼓山區明華路366號,22.66268,120.30224,翠華路 海功-翠華,1566.6082439664356
800高雄市新興區林森一路165號,22.63064,120.30449,翠華路 海功-翠華,2851.7942055368053
802高雄市苓雅區青年一路29號,22.62362,120.31432,翠華路 海功-翠華,4120.132518336374
800高雄市新興區五福一路128號,22.6272,120.31264,翠華路 海功-翠華,3768.224960974511
806高雄市前鎮區鄭和南路349號,22.60579,120.31482,翠華路 海功-翠華,5479.632157876304
806高雄市前鎮區鄭和南路353號,22.60608,120.31502,翠華路 海功-翠華,5468.333236837507
高雄市鼓山區美術東四路396號,22.65795,120.29049,翠華路 海功-翠華,794.9794788713529
高雄市苓雅區青年一路29號,22.62362,120.31432,翠華路 海功-翠華,4120.132518336374
高雄市新興區五福一路128號,22.6272,120.31264,翠華路 海功-翠華,3768.224960974511
高雄市新興區林森一路165號,22.63064,120.30449,翠華路 海功-翠華,2851.7942055368053
高雄市前鎮區鄭和南路353號,22.60608,120.31502,翠華路 海功-翠華,5468.333236837507
高雄市苓雅區林德街37號,22.62379,120.31792,翠華路 海功-翠華,4426.611078629861
802高雄市苓雅區青年一路30號,22.62421,120.31388,翠華路 海功-翠華,4046.878016106018
802高雄市苓雅區青年一路28號,22.62421,120.31379,翠華路 海功-翠華,4039.0588262149095
802高雄市苓雅區青年一路32號,22.62414,120.31362,翠華路 海功-翠華,4028.474455812506
806高雄市前鎮區鄭和南路345號,22.60574,120.31487,翠華路 海功-翠華,5487.177815623739
806高雄市前鎮區鄭和南路430號,22.60687,120.31496,翠華路 海功-翠華,5397.892560788998
804高雄市鼓山區,22.64959,120.26858,翠華路 海功-翠華,1286.7598999977922
802高雄市苓雅區青年一路26號,22.62422,120.31393,翠華路 海功-翠華,4050.633916497241
802高雄市苓雅區林德街35、37號,22.62379,120.31792,翠華路 海功-翠華,4426.611078629861
801高雄市前金區七賢二路394號,22.63097,120.28855,翠華路 海功-翠華,1632.0524259400438
801高雄市前金區市中一路99號,22.62308,120.29207,翠華路 海功-翠華,2572.529805589767
800高雄市新興區民生二路36號,22.6278,120.30045,翠華路 海功-翠華,2697.3063637279697
806高雄市前鎮區成功二路39號,22.60786,120.29931,翠華路 海功-翠華,4413.06205814268
802高雄市苓雅區四維三路7號,22.61967,120.31248,翠華路 海功-翠華,4223.63899711264
